id,text,option_a,option_b,option_c,option_d,correct,source,topic,type,section,page,reference,location
13,Emergency exit requirements in the elevator car are organized under which A17.2-2010 section?,1.13,3.8,5.3,6.1,A,ASME A17.2-2010,Inside car inspection,toc_navigation,1.13,12,A17.2-2010,Emergency Exit
14,"For elevator car ventilation in A17.2-2010, use which section?",2.6,5.1,11.6,1.14,D,ASME A17.2-2010,Inside car inspection,toc_navigation,1.14,12,A17.2-2010,Ventilation
15,Which A17.2-2010 section covers signs and operating device symbols?,7.6,9.6,1.15,2.10,C,ASME A17.2-2010,Inside car inspection,toc_navigation,1.15,12,A17.2-2010,Signs and Operating Device Symbols
16,"Rated load, platform area, and data plate questions belong first in which section?",10.14,1.16,2.14,8.14,B,ASME A17.2-2010,Inside car inspection,toc_navigation,1.16,13,A17.2-2010,"Rated Load, Platform Area, and Data Plate"
17,Standby power operation appears in which A17.2-2010 inside-car section?,1.17,4.12,6.5,11.7,A,ASME A17.2-2010,Inside car inspection,toc_navigation,1.17,13,A17.2-2010,Standby Power Operation
18,Restricted opening of car or hoistway doors is covered in which section?,4.4,5.2,7.13,1.18,D,ASME A17.2-2010,Inside car inspection,toc_navigation,1.18,14,A17.2-2010,Restricted Opening of Car or Hoistway Doors
19,Car ride is listed under which A17.2-2010 part?,Elevator - Outside Hoistway,Moving Walk - External,Elevator - Inside of Car,Elevator - Top of Car,C,ASME A17.2-2010,Inside car inspection,toc_navigation,1.19,15,A17.2-2010,Car Ride
20,Earthquake inspection and tests for the inside-car part are listed as which A17.2-2010 section?,5.16,1.20,2.42,3.34,B,ASME A17.2-2010,Inside car inspection,toc_navigation,1.20,15,A17.2-2010,Earthquake Inspection and Tests
21,Access to machine space is located in which A17.2-2010 section?,2.1,1.1,3.1,11.1,A,ASME A17.2-2010,Machine room inspection,toc_navigation,2.1,16,A17.2-2010,Access to Machine Space
22,Headroom in the machine room inspection part is section:,1.14,3.4,5.2,2.2,D,ASME A17.2-2010,Machine room inspection,toc_navigation,2.2,16,A17.2-2010,Headroom
23,Machine room lighting and receptacles are found in which A17.2-2010 section?,3.2,8.1,2.3,1.5,C,ASME A17.2-2010,Machine room inspection,toc_navigation,2.3,16,A17.2-2010,Lighting and Receptacles
24,Housekeeping in the elevator machine room appears in which section?,7.18,2.5,1.12,5.1,B,ASME A17.2-2010,Machine room inspection,toc_navigation,2.5,17,A17.2-2010,Housekeeping
25,"Which section covers pipes, wiring, and ducts in the machine room?",2.8,3.12,4.8,10.3,A,ASME A17.2-2010,Machine room inspection,toc_navigation,2.8,18,A17.2-2010,"Pipes, Wiring, and Ducts"
26,"Numbering of elevators, machines, controllers, and disconnect switches is found in:",1.15,3.9,4.12,2.10,D,ASME A17.2-2010,Machine room inspection,toc_navigation,2.10,18,A17.2-2010,Numbering
27,Disconnecting means and control is covered in which A17.2-2010 section?,10.2,11.7,2.11,1.17,C,ASME A17.2-2010,Machine room inspection,toc_navigation,2.11,19,A17.2-2010,Disconnecting Means and Control
28,"Controller wiring, fuses, and grounding are organized under which section?",11.9,2.12,8.3,10.3,B,ASME A17.2-2010,Machine room inspection,toc_navigation,2.12,20,A17.2-2010,"Controller Wiring, Fuses, Grounding"
29,"Governor, overspeed switch, and seal guidance is in which A17.2-2010 machine room section?",2.13,3.20,8.5,10.5,A,ASME A17.2-2010,Machine room inspection,toc_navigation,2.13,21,A17.2-2010,"Governor, Overspeed Switch, and Seal"
30,Code data plate questions for the elevator machine room point to which section?,1.16,8.14,10.14,2.14,D,ASME A17.2-2010,Machine room inspection,toc_navigation,2.14,25,A17.2-2010,Code Data Plate
31,Drive machine brake inspection is section:,8.4,10.4,2.17,3.25,C,ASME A17.2-2010,Machine room inspection,toc_navigation,2.17,26,A17.2-2010,Drive Machine Brake
32,Traction drive machines are covered in which A17.2-2010 section?,11.12,2.18,2.25,3.23,B,ASME A17.2-2010,Machine room inspection,toc_navigation,2.18,27,A17.2-2010,Traction Drive Machines
33,"Winding drum machine, slack rope device, stop motion switch, and rope fastening are in:",2.20,2.27,3.22,5.8,A,ASME A17.2-2010,Machine room inspection,toc_navigation,2.20,28,A17.2-2010,Winding Drum Machine
34,Terminal stopping devices in the machine room part are section:,3.5,3.6,5.3,2.28,D,ASME A17.2-2010,Machine room inspection,toc_navigation,2.28,32,A17.2-2010,Terminal Stopping Devices
35,Car and counterweight safeties are listed in which machine room section?,5.8,2.30,2.29,3.29,C,ASME A17.2-2010,Machine room inspection,toc_navigation,2.29,33,A17.2-2010,Car and Counterweight Safeties
36,Hydraulic power unit inspection is found in which section?,11.17,2.30,2.31,5.11,B,ASME A17.2-2010,Hydraulic inspection,toc_navigation,2.30,38,A17.2-2010,Hydraulic Power Unit
37,Relief valves are covered in which A17.2-2010 section?,2.31,2.32,5.15,11.18,A,ASME A17.2-2010,Hydraulic inspection,toc_navigation,2.31,38,A17.2-2010,Relief Valves
38,Flexible hydraulic hose and fitting assemblies are covered by:,2.35,5.14,11.20,2.34,D,ASME A17.2-2010,Hydraulic inspection,toc_navigation,2.34,40,A17.2-2010,Flexible Hydraulic Hose and Fitting Assemblies
39,Maintenance records in the machine room part appear as which section?,9.19,1.16,2.40,7.19,C,ASME A17.2-2010,Machine room inspection,toc_navigation,2.40,42,A17.2-2010,Maintenance Records
40,Hydraulic control in the machine room part is found in which A17.2-2010 section?,2.30,2.41,2.31,5.14,B,ASME A17.2-2010,Hydraulic inspection,toc_navigation,2.41,43,A17.2-2010,Hydraulic Control
41,Top-of-car stop switch guidance is located in which A17.2-2010 section?,3.1,1.2,5.1,8.2,A,ASME A17.2-2010,Top of car inspection,toc_navigation,3.1,44,A17.2-2010,Top-of-Car Stop Switch
42,Car top light and outlet is section:,1.5,2.3,8.1,3.2,D,ASME A17.2-2010,Top of car inspection,toc_navigation,3.2,44,A17.2-2010,Car Top Light and Outlet
43,Top-of-car operating device questions belong in which section?,8.17,10.16,3.3,1.3,C,ASME A17.2-2010,Top of car inspection,toc_navigation,3.3,45,A17.2-2010,Top-of-Car Operating Device
44,"Top-of-car clearance, refuge space, and standard railing are covered in:",11.4,3.4,2.2,5.2,B,ASME A17.2-2010,Top of car inspection,toc_navigation,3.4,45,A17.2-2010,Top-of-Car Clearance
45,Normal terminal stopping devices on top of car are section:,3.5,2.28,3.6,5.4,A,ASME A17.2-2010,Top of car inspection,toc_navigation,3.5,47,A17.2-2010,Normal Terminal Stopping Devices
46,Final and emergency terminal stopping devices are section:,3.5,5.3,2.28,3.6,D,ASME A17.2-2010,Top of car inspection,toc_navigation,3.6,48,A17.2-2010,Final and Emergency Terminal Stopping Devices
47,Car leveling and anticreep devices are located in which section?,5.9,11.22,3.7,1.19,C,ASME A17.2-2010,Top of car inspection,toc_navigation,3.7,49,A17.2-2010,Car Leveling and Anticreep Devices
48,Top emergency exit is section:,6.5,3.8,1.13,5.1,B,ASME A17.2-2010,Top of car inspection,toc_navigation,3.8,49,A17.2-2010,Top Emergency Exit
49,Floor and emergency identification numbering is found in section:,3.9,2.10,1.15,4.12,A,ASME A17.2-2010,Top of car inspection,toc_navigation,3.9,50,A17.2-2010,Floor and Emergency Identification Numbering
50,Hoistway construction is listed in which top-of-car section?,4.8,11.3,5.2,3.10,D,ASME A17.2-2010,Top of car inspection,toc_navigation,3.10,50,A17.2-2010,Hoistway Construction
51,Traveling cables and junction boxes appear in which A17.2-2010 section?,5.5,10.3,3.16,2.12,C,ASME A17.2-2010,Top of car inspection,toc_navigation,3.16,54,A17.2-2010,Traveling Cables and Junction Boxes
52,Door and gate equipment on top of car is section:,4.4,3.17,1.7,4.2,B,ASME A17.2-2010,Top of car inspection,toc_navigation,3.17,55,A17.2-2010,Door and Gate Equipment
53,Guide rails fastening and equipment are covered in:,3.19,3.20,5.13,4.11,A,ASME A17.2-2010,Top of car inspection,toc_navigation,3.19,57,A17.2-2010,Guide Rails Fastening and Equipment
54,Governor rope appears in which section?,2.13,3.21,5.6,3.20,D,ASME A17.2-2010,Top of car inspection,toc_navigation,3.20,58,A17.2-2010,Governor Rope
55,Wire rope fastening and hitch plate inspection is listed as:,3.23,5.8,3.22,2.27,C,ASME A17.2-2010,Top of car inspection,toc_navigation,3.22,59,A17.2-2010,Wire Rope Fastening and Hitch Plate
56,Suspension means is covered in which A17.2-2010 section?,5.10,3.23,2.25,2.27,B,ASME A17.2-2010,Top of car inspection,toc_navigation,3.23,60,A17.2-2010,Suspension Means
57,Counterweight and counterweight buffer is located in section:,3.28,3.24,5.9,4.11,A,ASME A17.2-2010,Top of car inspection,toc_navigation,3.28,64,A17.2-2010,Counterweight and Counterweight Buffer
58,Speed test in the top-of-car part is section:,2.29,7.14,9.14,3.30,D,ASME A17.2-2010,Top of car inspection,toc_navigation,3.30,65,A17.2-2010,Speed Test
59,Car platform guard is in which outside-hoistway section?,5.7,11.15,4.1,1.4,C,ASME A17.2-2010,Outside hoistway inspection,toc_navigation,4.1,66,A17.2-2010,Car Platform Guard
60,Hoistway doors are covered in which section?,4.4,4.2,1.7,3.17,B,ASME A17.2-2010,Outside hoistway inspection,toc_navigation,4.2,66,A17.2-2010,Hoistway Doors
61,Vision panels outside the hoistway are section:,4.3,1.11,3.13,7.15,A,ASME A17.2-2010,Outside hoistway inspection,toc_navigation,4.3,67,A17.2-2010,Vision Panels
62,Hoistway door locking devices are listed as section:,4.2,1.18,3.17,4.4,D,ASME A17.2-2010,Outside hoistway inspection,toc_navigation,4.4,68,A17.2-2010,Hoistway Door Locking Devices
63,Power closing of hoistway doors appears in:,1.10,7.10,4.6,1.9,C,ASME A17.2-2010,Outside hoistway inspection,toc_navigation,4.6,69,A17.2-2010,Power Closing of Hoistway Doors
64,Emergency doors in blind hoistways are covered in section:,11.2,4.10,4.8,5.1,B,ASME A17.2-2010,Outside hoistway inspection,toc_navigation,4.10,70,A17.2-2010,Emergency Doors in Blind Hoistways
65,"Pit access, lighting, stop switch, and condition are section:",5.1,2.1,3.1,8.1,A,ASME A17.2-2010,Pit inspection,toc_navigation,5.1,71,A17.2-2010,"Pit Access, Lighting, Stop Switch, and Condition"
66,"Bottom clearance, runby, and minimum refuge space are covered by:",3.4,11.4,2.2,5.2,D,ASME A17.2-2010,Pit inspection,toc_navigation,5.2,72,A17.2-2010,"Bottom Clearance, Runby, and Minimum Refuge Space"
67,Final and emergency terminal stopping devices in the pit part are section:,2.28,5.4,5.3,3.6,C,ASME A17.2-2010,Pit inspection,toc_navigation,5.3,74,A17.2-2010,Final and Emergency Terminal Stopping Devices
68,Traveling cables in the pit part are covered in:,10.3,5.5,3.16,2.12,B,ASME A17.2-2010,Pit inspection,toc_navigation,5.5,75,A17.2-2010,Traveling Cables
69,Governor-rope tension devices are section:,5.6,3.20,2.13,8.5,A,ASME A17.2-2010,Pit inspection,toc_navigation,5.6,75,A17.2-2010,Governor-Rope Tension Devices
70,Car frame and platform in the pit part is section:,3.18,4.1,11.15,5.7,D,ASME A17.2-2010,Pit inspection,toc_navigation,5.7,76,A17.2-2010,Car Frame and Platform
71,Buffer and emergency terminal speed limiting devices are listed as:,3.30,10.5,5.9,2.28,C,ASME A17.2-2010,Pit inspection,toc_navigation,5.9,78,A17.2-2010,Buffer and Emergency Terminal Speed Limiting Devices
72,Plunger and cylinder is covered in which pit section?,11.18,5.11,2.36,2.37,B,ASME A17.2-2010,Pit inspection,toc_navigation,5.11,80,A17.2-2010,Plunger and Cylinder
73,Operation of elevators under older fire/emergency conditions is organized under which part?,Part 6 - Firefighters' Service,Part 1 - Inside of Car,Part 4 - Outside Hoistway,Part 11 - MRL,A,ASME A17.2-2010,Firefighters' service,toc_navigation,6.1,81,A17.2-2010,Operation Under Fire and Other Emergency Conditions
74,Firefighters' Service acceptance checklist material is in which A17.2-2010 part?,Part 7,Part 8,Part 10,Part 6,D,ASME A17.2-2010,Firefighters' service,toc_navigation,6.5,91,A17.2-2010,Acceptance Checklist for Firefighters' Service
75,Escalator geometry is covered under which A17.2-2010 part and section?,"Part 9, section 9.2","Part 10, section 10.2","Part 7, section 7.2","Part 8, section 8.2",C,ASME A17.2-2010,Escalator external inspection,toc_navigation,7.2,95,A17.2-2010,Escalator Geometry
76,Escalator handrails are covered in which external section?,10.13,7.3,8.13,9.3,B,ASME A17.2-2010,Escalator external inspection,toc_navigation,7.3,95,A17.2-2010,Handrails
77,Combplate and comb step impact device is section:,7.7,8.8,9.7,10.8,A,ASME A17.2-2010,Escalator external inspection,toc_navigation,7.7,98,A17.2-2010,Combplate and Comb Step Impact Device
78,Escalator operating and safety devices are section:,8.2,8.13,10.10,7.10,D,ASME A17.2-2010,Escalator external inspection,toc_navigation,7.10,102,A17.2-2010,Operating and Safety Devices
79,Escalator skirt obstruction device appears in:,8.16,9.17,7.11,7.17,C,ASME A17.2-2010,Escalator external inspection,toc_navigation,7.11,106,A17.2-2010,Skirt Obstruction Device
80,"Escalator step/skirt clearances, panels, and performance index are section:",9.17,7.17,7.9,8.12,B,ASME A17.2-2010,Escalator external inspection,toc_navigation,7.17,108,A17.2-2010,Step/Skirt Clearances
81,"Escalator machinery space access, lighting, receptacle, and condition are found in:",8.1,7.1,10.1,11.1,A,ASME A17.2-2010,Escalator internal inspection,toc_navigation,8.1,113,A17.2-2010,Machinery Space Access
82,Escalator controller and wiring is section:,2.12,10.3,11.9,8.3,D,ASME A17.2-2010,Escalator internal inspection,toc_navigation,8.3,114,A17.2-2010,Controller and Wiring
83,Broken drive chain and disconnected motor safety device is covered in:,7.10,9.10,8.6,10.6,C,ASME A17.2-2010,Escalator internal inspection,toc_navigation,8.6,116,A17.2-2010,Broken Drive Chain and Disconnected Motor Safety Device
84,Missing step device is found in which section?,9.9,8.10,7.9,10.10,B,ASME A17.2-2010,Escalator internal inspection,toc_navigation,8.10,117,A17.2-2010,Missing Step Device
85,Handrail systems and safety devices for escalator internal inspection are section:,8.13,7.3,9.3,10.13,A,ASME A17.2-2010,Escalator internal inspection,toc_navigation,8.13,119,A17.2-2010,Handrail Systems and Safety Devices
86,Moving walk geometry is covered under which section?,7.2,8.2,10.2,9.2,D,ASME A17.2-2010,Moving walk external inspection,toc_navigation,9.2,122,A17.2-2010,Geometry
87,Moving walk treadways are section:,8.12,10.12,9.9,7.9,C,ASME A17.2-2010,Moving walk external inspection,toc_navigation,9.9,127,A17.2-2010,Treadways
88,Moving walk operating and safety devices are located in:,10.10,9.10,7.10,8.10,B,ASME A17.2-2010,Moving walk external inspection,toc_navigation,9.10,128,A17.2-2010,Operating and Safety Devices
89,Moving walk internal stop switch and inspection control are covered in:,10.2,8.2,9.10,11.9,A,ASME A17.2-2010,Moving walk internal inspection,toc_navigation,10.2,133,A17.2-2010,Stop Switch and Inspection Control
90,Moving walk drive machine and brake is section:,8.4,2.17,7.14,10.4,D,ASME A17.2-2010,Moving walk internal inspection,toc_navigation,10.4,134,A17.2-2010,Drive Machine and Brake
91,Missing pallet device is covered in which moving walk internal section?,9.9,10.8,10.10,8.10,C,ASME A17.2-2010,Moving walk internal inspection,toc_navigation,10.10,137,A17.2-2010,Missing Pallet Device
92,MRL access to machine room/machinery space/control room/control space is section:,10.1,11.1,2.1,8.1,B,ASME A17.2-2010,MRL inspection,toc_navigation,11.1,140,A17.2-2010,Access to Machine Room/Machinery Space/Control Room/Control Space
93,MRL maintenance path and clearance is section:,11.4,3.4,5.2,2.2,A,ASME A17.2-2010,MRL inspection,toc_navigation,11.4,141,A17.2-2010,Maintenance Path and Clearance
94,MRL disconnecting means is found in section:,2.11,10.2,4.12,11.7,D,ASME A17.2-2010,MRL inspection,toc_navigation,11.7,141,A17.2-2010,Disconnecting Means
95,Inspection and test panels for MRL elevators are section:,8.17,10.16,11.9,3.3,C,ASME A17.2-2010,MRL inspection,toc_navigation,11.9,142,A17.2-2010,Inspection and Test Panels
96,Which source should be used for this question bank's base material?,A17.5-2004 only,A17.2-2010,A17.1 maintenance requirements only,A17.3 existing-elevator code only,B,ASME A17.2-2010,Study scope,multiple_choice,Scope,N/A,A17.2-2010,2010 base source
97,Part 11 of A17.2-2010 is dedicated to which elevator arrangement?,Escalator internal inspection,Machine-room-less elevator inspection,Moving walk external inspection,Inside-car inspection,B,ASME A17.2-2010,MRL inspection,toc_navigation,Part 11,140,A17.2-2010,Elevator - Machine-Room-Less
98,Which answer best describes this bank's intended focus?,Memorizing unrelated appendix text,Replacing A17.1 requirements,Testing product certification labels only,Finding the correct A17.2-2010 inspection section quickly,D,ASME A17.2-2010,Study scope,multiple_choice,All Parts,N/A,A17.2-2010,Navigation and inspection organization
99,"After the escalator parts, which equipment category does A17.2-2010 address next?",Elevator machine room,Private residence elevators only,Moving walks,Electrical devices only,C,ASME A17.2-2010,Moving walk inspection,toc_navigation,Parts 9-10,122,A17.2-2010,Moving Walk Parts
100,Which major A17.2-2010 pattern is most useful for exam navigation?,All hydraulic topics are in an appendix,"Elevator areas first, then escalator, moving walk, and MRL parts",All topics are grouped alphabetically,Only A17.1 section numbers are used,B,ASME A17.2-2010,Study scope,multiple_choice,Contents,iii-vii,A17.2-2010,Table of contents organization
